Date,Close/Last,Volume,Open,High,Low
05/09/2025,$82.81,19105420,$82.85,$84.1223,$82.32
05/08/2025,$82.30,24293150,$83.87,$84.00,$82.00
05/07/2025,$83.65,49263150,$83.13,$85.17,$80.12
05/06/2025,$85.83,30378860,$83.50,$86.53,$83.1007
05/05/2025,$85.43,25339030,$83.05,$86.57,$82.97
05/02/2025,$84.28,22401820,$82.09,$84.92,$81.80
05/01/2025,$80.89,18698480,$81.00,$81.92,$80.67
04/30/2025,$81.01,17762850,$77.77,$81.2191,$77.30
04/29/2025,$79.42,12172240,$78.33,$79.73,$78.03
04/28/2025,$78.33,13324220,$78.105,$78.78,$77.04
04/25/2025,$77.75,20047760,$78.565,$80.5515,$77.47
04/24/2025,$78.10,22188510,$74.155,$78.38,$73.86
04/23/2025,$73.77,22750160,$76.925,$77.58,$73.23
04/22/2025,$74.44,16599290,$73.85,$75.56,$73.35
04/21/2025,$72.92,20634640,$74.44,$75.44,$71.2709
04/17/2025,$75.24,21893390,$73.98,$75.91,$73.76
04/16/2025,$73.06,15990830,$73.575,$74.80,$72.0518
04/15/2025,$74.02,13790150,$73.10,$74.72,$73.10
04/14/2025,$73.10,12483180,$73.52,$73.65,$72.23
04/11/2025,$72.28,16274570,$70.46,$72.40,$69.33
04/10/2025,$70.94,22373900,$71.75,$72.87,$68.34
04/09/2025,$72.68,30148810,$65.00,$73.40,$64.95
04/08/2025,$65.07,24045230,$69.31,$70.07,$63.50
04/07/2025,$65.64,32841700,$62.52,$67.5871,$60.63
04/04/2025,$64.62,34938670,$66.695,$67.5594,$63.94
04/03/2025,$69.85,23290800,$71.72,$72.436,$69.7665
04/02/2025,$74.50,14806850,$72.00,$75.41,$72.00
04/01/2025,$72.99,16889180,$72.60,$73.07,$70.83
03/31/2025,$72.86,16033070,$71.40,$73.30,$70.50
03/28/2025,$72.75,11277870,$74.50,$74.92,$72.381
03/27/2025,$74.86,11866810,$73.895,$75.62,$73.53
03/26/2025,$74.18,11845810,$75.55,$75.64,$73.225
03/25/2025,$75.61,16065880,$76.60,$76.71,$75.05
03/24/2025,$76.51,18126300,$76.97,$77.5842,$75.44
03/21/2025,$75.84,26551400,$73.72,$76.00,$72.77
03/20/2025,$74.35,17851350,$72.56,$75.54,$72.46
03/19/2025,$73.02,15042060,$71.92,$73.785,$70.73
03/18/2025,$71.55,16137510,$72.20,$72.675,$70.4802
03/17/2025,$72.73,20577770,$72.02,$73.81,$71.775
03/14/2025,$71.55,13537280,$70.55,$71.7899,$70.33
03/13/2025,$69.51,15272230,$71.68,$72.00,$69.36
03/12/2025,$71.20,17315030,$72.31,$72.42,$69.55
03/11/2025,$70.65,26668190,$71.44,$74.25,$69.57
03/10/2025,$73.06,22120090,$74.94,$75.49,$71.97
03/07/2025,$76.27,18610390,$73.99,$76.6996,$73.78
03/06/2025,$74.96,16504910,$75.315,$77.22,$74.7254
03/05/2025,$76.48,13122290,$75.65,$76.94,$74.93
03/04/2025,$75.26,24241230,$72.93,$76.68,$71.60
03/03/2025,$74.44,16999500,$77.06,$77.74,$73.68
02/28/2025,$76.01,17752020,$74.28,$76.11,$73.58
02/27/2025,$74.21,22535940,$75.95,$77.69,$73.71
02/26/2025,$75.87,10338710,$75.33,$76.49,$75.3101
02/25/2025,$74.95,19559250,$76.36,$76.37,$73.53
02/24/2025,$76.42,24368390,$78.65,$78.88,$74.85
02/21/2025,$78.89,21774330,$81.26,$82.10,$78.36
02/20/2025,$81.26,14770270,$81.23,$81.84,$80.06
02/19/2025,$81.16,14973430,$80.79,$81.90,$79.26
02/18/2025,$81.49,18943230,$79.85,$81.51,$79.75
02/14/2025,$79.42,15405690,$80.35,$80.35,$78.87
02/13/2025,$80.29,21754710,$79.12,$80.53,$78.51
02/12/2025,$79.35,33142370,$74.97,$80.10,$74.15
02/11/2025,$76.95,27329560,$78.91,$79.20,$76.60
02/10/2025,$78.63,42551670,$77.10,$78.99,$76.80
02/07/2025,$74.60,81813180,$70.36,$76.775,$70.13
02/06/2025,$69.99,45940240,$65.67,$70.05,$65.54
02/05/2025,$64.48,78975880,$66.50,$66.75,$63.50
02/04/2025,$69.75,33786240,$67.69,$70.19,$67.69
02/03/2025,$67.29,25290050,$65.30,$68.85,$65.1781
01/31/2025,$66.85,19805630,$67.09,$67.87,$66.3327
01/30/2025,$66.59,33246500,$63.42,$67.222,$63.42
01/29/2025,$66.75,29592590,$67.80,$68.06,$65.82
01/28/2025,$68.07,24988460,$68.33,$69.6752,$67.1624
01/27/2025,$68.77,20904640,$67.64,$69.41,$67.37
01/24/2025,$68.56,14360350,$68.69,$69.31,$68.40
01/23/2025,$68.30,15355440,$67.60,$68.37,$67.24
01/22/2025,$67.82,18130030,$68.39,$68.43,$67.50
01/21/2025,$67.74,21423620,$68.00,$68.18,$66.85
01/17/2025,$67.34,27139150,$68.80,$69.02,$67.23
01/16/2025,$68.58,29013140,$67.75,$69.58,$67.64
